zip_code,y_2016,y_2015,y_2014,y_2013,y_2012,y_2011,y_2010,aggregate,average
10958,3121,2899,2929,3030,3187,3538,3291,21995,3142.142857
10960,15357,15253,15637,15476,15545,15261,15093,107622,15374.57143
10962,5581,5809,5677,6166,5995,5915,5950,41093,5870.428571
10963,4263,4361,4219,4260,3889,3669,4298,28959,4137
10964,1367,1557,1711,1791,1598,1651,1472,11147,1592.428571
10965,15149,15320,14878,14794,14799,14710,14791,104441,14920.14286
10968,2249,2344,2301,2302,2194,2099,2353,15842,2263.142857
10969,1403,1717,1665,1674,1534,1522,1267,10782,1540.285714
10970,9773,9873,9716,9670,9164,9795,9993,67984,9712
10973,2322,2603,2646,2789,2462,2286,2126,17234,2462
10974,3208,3199,3166,3149,3141,3125,3152,22140,3162.857143
10975,291,297,328,238,305,455,281,2195,313.5714286
10976,2699,2264,2266,2134,2179,2087,2258,15887,2269.571429
10977,63319,62280,60650,60293,59133,57800,59048,422523,60360.42857
10979,283,301,201,174,137,192,234,1522,217.4285714
10980,13997,13860,13746,13440,13620,13330,13383,95376,13625.14286
10983,5674,5649,5727,5537,5522,5528,5532,39169,5595.571429
10984,3020,2880,3117,3317,3485,3282,2842,21943,3134.714286
10985,38,34,14,13,90,115,58,362,51.71428571
10986,1696,1836,1887,2103,1923,2013,1974,13432,1918.857143
10987,3280,3318,3279,3364,3320,3196,3395,23152,3307.428571
10988,711,869,947,819,983,902,896,6127,875.2857143
10989,10333,10033,10113,9868,9757,9934,9293,69331,9904.428571
10990,19678,19647,20029,20139,20526,20598,20631,141248,20178.28571
10992,9197,9048,9324,9839,9716,10460,9621,67205,9600.714286
10993,4996,5326,5069,4678,4559,4587,4769,33984,4854.857143
10994,7652,7490,6931,7206,6963,6861,7085,50188,7169.714286
10996,6612,6830,6892,7013,7286,7570,6756,48959,6994.142857
10998,2824,2736,2699,2759,2818,3082,3122,20040,2862.857143
11001,27650,27551,27156,27001,27104,26905,26883,190250,27178.57143
11003,45480,45406,44907,43739,44016,43910,41356,308814,44116.28571
11004,14722,13778,14045,14500,14178,14050,14016,99289,14184.14286
11005,1926,1947,2123,2055,1963,1797,1806,13617,1945.285714
11010,24539,24791,25054,24394,23800,23790,23821,170189,24312.71429
11020,6285,6378,6120,6370,6139,5975,5914,43181,6168.714286
11021,17856,17378,17478,17467,17449,17544,17729,122901,17557.28571
11023,9825,9953,9955,9870,9400,8954,9027,66984,9569.142857
11024,7790,7667,7789,7555,7784,7853,8002,54440,7777.142857
11030,17642,17505,17295,17372,17854,17914,17962,123544,17649.14286
11040,41381,41434,40799,40231,40005,40296,40782,284928,40704
11042,549,549,542,544,541,534,520,3779,539.8571429
11050,30450,30845,30583,30666,30397,30197,30171,213309,30472.71429
11096,7701,8331,7884,8276,8091,8443,8344,57070,8152.857143
11101,26505,25880,25317,25537,24405,23798,25484,176926,25275.14286
11102,33750,35271,35027,34529,33742,33432,34133,239884,34269.14286
11103,38861,39231,38257,37745,36724,36508,38780,266106,38015.14286
11104,26102,26718,26555,25729,26321,26230,27232,184887,26412.42857
11105,37297,37194,36816,36190,37438,38103,36688,259726,37103.71429
11106,39409,38812,38633,36869,36958,36305,38875,265861,37980.14286
11109,4964,4702,4337,3524,3272,2916,3523,27238,3891.142857
11201,60061,58350,56488,54668,52242,51356,51128,384293,54899
11203,75920,75887,77011,79572,80202,80337,76174,545103,77871.85714
11204,79332,80486,80349,80963,80341,78690,78134,558295,79756.42857
11205,44818,43224,43320,43002,40125,38997,40366,293852,41978.85714
11206,86486,84806,83180,81525,80086,79674,81677,577434,82490.57143
11207,93251,94657,93465,92491,92054,89676,93386,648980,92711.42857
11208,95715,93847,92262,93107,93998,93447,94469,656845,93835
11209,67822,70803,72582,72623,72434,71704,68853,496821,70974.42857
11210,68435,67432,67042,65302,64041,64508,62008,458768,65538.28571
11211,99964,97772,94681,93271,90510,90522,90117,656837,93833.85714
11212,86469,88668,87751,84520,81267,80311,84500,593486,84783.71429
11213,65434,64603,62756,62059,61495,62231,63767,442345,63192.14286
11214,91728,91295,88297,83156,81428,78326,88630,602860,86122.85714
11215,69965,70818,70156,68891,67195,65477,63488,475990,67998.57143
11216,55816,53747,54440,53783,53662,53065,54316,378829,54118.42857
11217,38670,38511,38567,38787,38398,38992,35881,267806,38258
11218,74831,75691,75132,74758,74571,76811,75220,527014,75287.71429
11219,96287,97670,98719,96971,95069,94083,92221,671020,95860
11220,101006,102325,101715,103089,100476,99540,99598,707749,101107
11221,84034,83372,83773,81321,80254,77041,78895,568690,81241.42857
11222,35695,35163,34580,34186,33718,33482,36934,243758,34822.57143
11223,79730,79385,76651,74606,74700,73208,78731,537011,76715.85714
11224,43444,43001,42698,42535,44047,45092,47621,308438,44062.57143
11225,60323,60180,59613,59182,60179,58987,56829,415293,59327.57143
11226,101787,99026,98299,98325,99285,99422,101572,697716,99673.71429
11228,46164,47190,46059,43929,43396,42585,41788,311111,44444.42857
11229,82914,81732,81351,81030,79268,77021,80018,563334,80476.28571
11230,88933,88589,87064,84219,84707,85757,86408,605677,86525.28571
11231,36302,35263,34605,34137,34393,35109,33336,243145,34735
11232,29387,29216,29452,28824,28703,27925,28265,201772,28824.57143
11233,72159,71589,69637,68599,67661,66315,67053,483013,69001.85714
11234,95546,95912,95610,94259,95390,94891,87757,659365,94195
11235,78237,76668,75622,74630,72447,71129,79132,527865,75409.28571
11236,100049,98276,97714,97217,97084,94643,93877,678860,96980
11237,53678,54182,55258,55478,53031,52123,49896,373646,53378
11238,53992,52999,51959,51895,52033,50840,49262,362980,51854.28571
11239,12468,12924,12943,12879,12850,12802,13393,90259,12894.14286
11354,58551,56908,56433,56258,55543,53050,54878,391621,55945.85714
11355,82028,82790,83799,83221,83938,82505,85871,584152,83450.28571
11356,24405,24631,23800,23037,22947,21721,23438,163979,23425.57143
11357,39259,39737,40588,40872,40705,40516,39150,280827,40118.14286
11358,37461,37486,37634,38317,39143,38668,37546,266255,38036.42857
11360,19309,19605,19916,19865,20688,20953,18884,139220,19888.57143
11361,29322,30207,30352,30597,29197,28926,28606,207207,29601
11362,18198,18139,17897,17865,18220,17492,17823,125634,17947.71429
11363,7577,7662,7625,7354,7442,7052,6988,51700,7385.714286
11364,35068,34949,34902,34751,35106,35372,34555,244703,34957.57143
11365,44617,45041,43138,41924,41520,41283,42252,299775,42825
11366,14042,13192,13146,13499,13593,14160,13532,95164,13594.85714
11367,42663,42667,41582,41022,39424,38835,41047,287240,41034.28571
11368,112982,112709,110385,107962,104486,103401,109931,761856,108836.5714
11369,37823,39001,39862,40761,40160,39677,38615,275899,39414.14286
11370,34445,35507,36271,37244,37755,38370,39688,259280,37040
11372,64109,64754,63202,63320,62857,63520,66636,448398,64056.85714
11373,96616,98554,100713,99159,97430,96474,100820,689766,98538
11374,43158,43399,41792,42297,42484,42888,43600,299618,42802.57143
11375,71159,70723,69652,69757,69745,69266,68733,489035,69862.14286
11377,90883,90615,88939,86316,87284,87143,89830,621010,88715.71429
11378,33270,31756,30854,32268,32187,33672,34981,228988,32712.57143
11379,36082,35476,35725,35822,35680,34529,34821,248135,35447.85714
11385,103372,102209,100132,99379,99508,99295,98592,702487,100355.2857
11411,19300,19208,19177,18722,19357,20426,18556,134746,19249.42857
11412,37802,37832,37690,37176,36660,36932,34882,258974,36996.28571
11413,42699,42560,41689,40385,39291,39922,38912,285458,40779.71429
11414,28247,28700,28742,28094,28769,28480,26148,197180,28168.57143
11415,19308,19403,19020,19145,19464,18677,19341,134358,19194
11416,27144,26625,25973,25950,24977,23852,24861,179382,25626
11417,31742,32415,31556,31004,30325,29928,28967,215937,30848.14286
11418,39908,39308,36751,36828,36821,36005,36256,261877,37411
11419,51642,49306,48370,49193,48119,48138,47211,341979,48854.14286
11420,50549,50820,50162,48449,48226,47243,44354,339803,48543.28571
11421,43341,43024,42745,42588,41872,40975,39127,293672,41953.14286
11422,33408,33245,32589,33280,33116,31739,30425,227802,32543.14286
11423,31823,31982,32053,31625,31425,30890,29987,219785,31397.85714
11426,19991,19842,19348,19575,18847,19165,17590,134358,19194
11427,22941,23568,23460,24877,24601,24385,23593,167425,23917.85714
11428,19736,19744,20461,20307,19784,19764,19168,138964,19852
11429,26739,26362,27506,28311,28571,29167,25105,191761,27394.42857
11430,179,186,171,140,101,53,184,1014,144.8571429
11432,64686,63533,62395,61687,58705,56900,60809,428715,61245
11433,34703,34111,37927,32821,30851,30076,32687,233176,33310.85714
11434,66279,65892,65255,62809,61853,61183,59129,442400,63200
11435,57627,55323,54523,53542,52288,52358,53687,379348,54192.57143
11436,20136,19425,18609,17636,17316,16956,17949,128027,18289.57143
11501,19262,19241,19155,18991,18982,18981,19148,133760,19108.57143
11507,7330,7430,7224,6998,7215,7751,7406,51354,7336.285714
11509,2329,2174,2232,2022,2159,2250,2653,15819,2259.857143
11510,33734,33473,33430,32553,33152,32234,33048,231624,33089.14286
11514,4543,4913,5197,5273,5332,5395,4673,35326,5046.571429
11516,7724,7742,7513,7477,7486,7479,7556,52977,7568.142857
11518,10192,10278,10065,10243,10307,10610,10549,72244,10320.57143
11520,43697,43795,43632,43472,43246,43168,43341,304351,43478.71429
11530,28463,28663,28155,28019,27982,27835,27273,196390,28055.71429
11542,27676,27849,27691,27585,27530,27459,27633,193423,27631.85714
11545,12694,12426,12653,13005,13070,11962,12065,87875,12553.57143
11547,837,741,797,718,655,566,793,5107,729.5714286
11548,2858,2407,2328,2338,2347,2301,2780,17359,2479.857143
11549,2920,2864,2337,2429,2567,2740,2922,18779,2682.714286
11550,57679,57352,57224,56773,56347,56045,56435,397855,56836.42857
11552,24417,23672,22949,22565,22872,22975,23616,163066,23295.14286
11553,26160,26158,26506,26231,26430,26032,26034,183551,26221.57143
11554,37228,37836,37513,37687,38126,37390,38132,263912,37701.71429
11556,14,14,0,0,0,0,17,45,6.428571429
11557,6972,6590,7364,7538,7214,8047,7823,51548,7364
11558,8323,8449,8646,8688,8456,8485,8370,59417,8488.142857
11559,8709,8403,8402,8188,8020,7931,8176,57829,8261.285714
11560,6354,6284,6334,6534,6628,6501,6464,45099,6442.714286
11561,37544,37458,37599,37894,37881,37370,37280,263026,37575.14286
11563,22551,22985,22984,23177,22953,22453,22666,159769,22824.14286
11565,8640,8677,8820,8752,8779,8909,8690,61267,8752.428571
11566,34232,33356,33791,33582,33980,34081,35321,238343,34049
11568,4578,4356,4240,4000,3858,3802,4555,29389,4198.428571
11569,1229,1342,1284,1309,1225,1459,1398,9246,1320.857143
11570,27463,27819,27896,27235,26870,26917,26646,190846,27263.71429
11572,29295,28763,28901,28627,29540,29210,30574,204910,29272.85714
11575,16564,16386,16674,16200,16408,15677,16272,114181,16311.57143
11576,12663,12471,12325,12524,12060,12190,12366,86599,12371.28571
11577,12888,12444,12788,12541,12511,12230,12337,87739,12534.14286
11579,5128,5052,5336,5369,5265,5290,5055,36495,5213.571429
11580,43219,42765,41525,41129,40500,40441,40113,289692,41384.57143
11581,21406,21579,20956,21134,20553,20129,20844,146601,20943
11590,47134,46938,45972,45656,44977,43599,45768,320044,45720.57143
11596,10683,10636,10638,10582,10517,10412,10480,73948,10564
11598,13478,12874,12927,13167,12972,12896,13328,91642,13091.71429
11691,64946,63989,62577,61091,61442,59376,60035,433456,61922.28571
11692,19403,18955,17970,17674,16870,17070,18540,126482,18068.85714
11693,12021,11194,11338,11335,11415,11407,11916,80626,11518
11694,21219,20773,21507,21725,21281,20792,20408,147705,21100.71429
11697,3928,4006,4078,4223,4344,4381,4079,29039,4148.428571
